"","NAME","CONTRACT_START","sum(AGE)","sum(GP)","sum(WR)","sum(MIN)","sum(PTS)","sum(FGM)","sum(FGA)","sum(FG.)","sum(X3PM)","sum(X3PA)","sum(X3P.)","sum(FTM)","sum(FTA)","sum(FT.)","sum(OREB)","sum(DREB)","sum(REB)","sum(AST)","sum(TOV)","sum(STL)","sum(BLK)","sum(PF)","sum(MARGIN)","sum"
"1","DeAndre Jordan",2011,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,4
"2","DeAndre Jordan",2015,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,1,1,0,0,0,1,0,0,6
"3","Dwight Howard",2013,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,0,0,0,1,0,0,5
"4","Dwight Howard",2016,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,1,0,0,0,0,0,1,0,0,5
"5","Dwight Howard",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
"6","Edmond Sumner",2018,0,-1,-1,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,5
"7","Hassan Whiteside",2016,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,3
"8","JaVale McGee",2012,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,3
"9","James Harden",2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4
"10","Joe Harris",2016,0,-1,1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,5
"11","Kevin Love",2012,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,5
"12","Seth Curry",2015,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,5
"13","Tyson Chandler",2015,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,3
