"","mean","sd","kurtosis","skewness"
"1",25.9346733668342,2.84281013496839,3.24084343750997,0.768411574391622
"2",64.1708542713568,19.5737650325471,4.72389263551391,-1.5435578853146
"3",0.528213960877573,0.166024687475257,3.61368362137564,-0.258035276113636
"4",26.0672289823268,8.46917987048886,2.58173349072111,-0.611299794273273
"5",12.0925666625937,6.33904769616753,2.71040850876093,0.603376152459274
"6",4.45836624203133,2.22679454713011,2.41658012501234,0.431514487380815
"7",9.54262796502744,4.69369840478624,2.3632305530646,0.450972934934953
"8",46.7437185929648,8.09482614666013,17.0384034483236,0.877153309885745
"9",0.948021854426594,0.79069933083207,2.96630678344123,0.662817475766786
"10",2.61241196546261,1.99966693188715,2.44584435988029,0.412415690946013
"11",29.7236180904523,13.2388888031548,3.50588674873894,-1.27068955888143
"12",2.22781232410443,1.74659536496357,4.24053633147954,1.23570218738377
"13",2.9232080648309,2.18254735210814,3.65243020659357,1.07848131245919
"14",74.027135678392,14.9828948712831,13.071093778376,-2.67787513267041
"15",1.15270444819208,0.949405249534098,4.1550030755237,1.27242624533281
"16",3.64402606355362,2.02593389865056,3.31428961546135,0.832520083314635
"17",4.7967305117457,2.80681061196426,3.71594106286257,0.94320852742115
"18",2.58741445973777,2.25027547229296,5.08807194612994,1.57639517279999
"19",1.54462686603017,0.911201412934936,3.35100010619295,0.914690434437914
"20",0.864964350649085,0.478801521509035,3.01043941997665,0.623240433863575
"21",0.572747551555342,0.573663661875622,8.60535119077794,2.03698524451493
"22",2.05949097817348,0.669257599362384,2.84022977627389,-0.0637908111411852
"23",0.691830662294131,3.49226624223393,3.14354983678265,0.335009335345773
